id,date,user,pc,activity
{Y8H8-S8OS60BV-3532HLVP},02/15/2010 17:46:22,JDF0593,PC-6301,Connect
{P3Z3-P6WY52CE-2299KNEB},06/11/2010 13:48:28,AVM0947,PC-0285,Connect
{B6M1-N8HJ69RF-4148EVKK},02/07/2011 13:56:37,IIW0249,PC-0843,Connect
{G6H1-M7ZS59YR-4541NLZB},02/22/2010 12:54:52,RMW0542,PC-7543,Disconnect
{J1M0-D5FI59UA-4248EFKR},11/12/2010 11:20:53,DLM0051,PC-0166,Disconnect
{F5Q0-F7JD41LB-7871EHUH},04/26/2010 13:49:39,BSS0369,PC-3672,Connect
{B4I2-E5PM79ZH-3361ATCS},07/07/2010 15:27:49,BMG0917,PC-6688,Connect
{U0C0-Y5WE57CK-0290JITP},05/05/2010 14:38:04,VIA0063,PC-2684,Connect
{K9E4-Y2YL67LG-5691ZIPA},06/07/2010 10:14:15,NAF0326,PC-0384,Connect
{F5Y8-W2EG71CH-5806EXWN},03/04/2010 15:29:48,RSC0089,PC-9929,Connect
{B9D3-G5DS79UE-8177BOWN},03/03/2011 16:38:17,JBD0616,PC-1479,Connect
{M0N5-F8UU53IY-1885JMCP},05/16/2011 09:05:21,BAL0044,PC-5179,Connect
{S2A2-M2QM36KA-0579XHYE},06/25/2010 15:48:28,MDH0580,PC-4579,Connect
{F1X7-B5LF01TE-8287WWPJ},12/09/2010 10:46:46,CAB0614,PC-6638,Disconnect
{I1S1-X8YM92AE-3520UCXP},11/09/2010 08:56:40,JCG0316,PC-9245,Connect
{L4O7-C8IV89FS-3926DJLF},06/15/2010 11:47:51,HSB0196,PC-8001,Disconnect
{F0E9-S1WY19NL-4589BOTG},09/22/2010 11:36:32,LBH0942,PC-3640,Disconnect
{D5C6-I2ZS62BP-4791ZGUQ},11/18/2010 12:32:29,IIW0249,PC-0843,Disconnect
{F6R9-A5MR94NA-7201KIOJ},05/09/2011 15:22:38,BTR0403,PC-8277,Disconnect
{P2U8-Q7GC77TA-1264QPCA},05/04/2010 09:15:00,JDB0169,PC-7502,Connect
{Y2B1-S8XO82BT-7932DVHB},12/17/2010 09:09:28,MTB0620,PC-9348,Disconnect
{W1N7-Q1HQ82QS-1543ZYGD},07/08/2010 11:17:56,IIW0249,PC-0843,Disconnect
{U3C5-B5VO72QZ-2995KYRA},04/20/2010 09:36:27,AAF0535,PC-2408,Connect
{J4C1-X0CR04FT-3796YYNI},04/03/2010 14:51:25,BSS0369,PC-3672,Disconnect
{G6I5-X3MY01CF-3543IIYP},01/17/2011 10:17:26,DBB0384,PC-4243,Disconnect
{J9D6-B3IP21ZQ-5557YMRR},04/23/2010 17:31:47,THR0873,PC-4804,Disconnect
{L7J5-X6GX34FK-4817KZWL},05/09/2010 14:08:03,BSS0369,PC-2813,Disconnect
{V4A0-Z8DM26KH-4921FFPI},04/02/2010 10:31:13,RAW0915,PC-2113,Disconnect
{C5R4-Y4RY79AI-4990OUNQ},01/26/2011 14:28:09,TSR0676,PC-9227,Connect
{N6B5-R6MN84WW-7406ODYP},02/17/2010 12:11:20,BAL0044,PC-5179,Disconnect
{E7D6-B3VK82XV-1034MSSP},02/08/2010 10:47:01,AVM0947,PC-0285,Connect
{G7E2-P7VQ65KL-2342ZZRB},03/19/2010 17:18:19,BMG0917,PC-6688,Connect
{N9Y1-T9BE96DM-1109WIFI},01/24/2011 10:11:12,SAA0999,PC-4559,Disconnect
{B5T0-Q0ST38BY-5711WHAW},12/02/2010 11:22:58,SCP0130,PC-2057,Disconnect
{S1J9-Q3BC12YK-5560LMPX},05/05/2011 11:23:47,JBD0616,PC-1479,Disconnect
{C2T5-Y5OY73ER-5950OLAC},02/09/2010 15:09:43,RHO0732,PC-6232,Disconnect
{Y5Y3-Q6RP73AI-8578TMMM},06/30/2010 15:09:44,HSB0196,PC-8001,Disconnect
{D6P6-S9HX97AN-0411UCTW},05/20/2010 11:08:11,BBG0325,PC-6609,Disconnect
{V0X6-G3SS55RV-8500URLU},07/14/2010 06:21:31,BSS0369,PC-8105,Connect
{I4M4-R2AZ31FY-1027HKSU},03/03/2010 14:02:47,AHM0410,PC-3686,Disconnect
{L3K8-Y1NZ33RB-5439GXPH},09/16/2010 09:35:33,IRM0931,PC-7188,Connect
{D4F4-D3SV83JW-3676COZT},03/08/2010 12:51:18,HCS0003,PC-3054,Connect
{C2D5-I2XJ63NA-9821HNJT},07/22/2010 19:24:07,GNS0178,PC-6846,Connect
{C4A9-T1MY07GI-3641MOER},02/17/2010 12:56:34,HBO0413,PC-7384,Connect
{A7M7-I9GZ19GJ-4942USXE},08/20/2010 14:39:52,MGS0974,PC-0351,Connect
{B4V2-D2VK54ZM-2910CDVP},07/09/2010 15:20:33,HSB0196,PC-8001,Disconnect
{Q5P2-H6CT89ZP-0255DRYL},11/26/2010 09:54:08,BRB0355,PC-9896,Disconnect
{B2R7-K1UW42EY-0202ZYVP},12/06/2010 15:05:12,AJD0074,PC-3135,Connect
{H8Q6-F4TM70LR-0514SZZS},03/25/2011 11:30:57,QRM0739,PC-7343,Disconnect
{N2S9-A8YB34JU-1333VOQQ},02/19/2010 15:04:23,LBH0942,PC-3640,Disconnect
{I2G0-I1OB22QV-4141USGM},12/20/2010 11:31:20,BMT0528,PC-0202,Disconnect
{R0B0-B0AA60ZR-9375ESMX},08/11/2010 14:25:46,OCS0865,PC-8309,Connect
{M7E1-S3TS28ED-5978BYOP},01/24/2011 16:10:07,OBH0499,PC-7989,Disconnect
{T7E6-N8LM34KF-4798HUBB},02/26/2010 12:44:17,KKW0879,PC-2531,Connect
{Y4Y7-X1NC75LC-0718FTXL},03/28/2011 18:12:32,EIS0041,PC-0683,Disconnect
{D5Z6-F5DE10MV-7444IGUO},01/25/2010 07:20:20,NWT0098,PC-4667,Connect
{Y5D7-D6NR88UN-2736LLXC},07/28/2010 07:55:32,MPM0220,PC-2344,Connect
{A1X5-M2WO73GT-2748XNMJ},03/02/2011 09:23:07,BTR0403,PC-8277,Disconnect
