id,date,user,pc,activity
{H2W3-J7KT42TP-7420RERG},04/07/2010 16:23:00,OHC0973,PC-0745,Logoff
{X3Q2-J1QY24LB-4349JMLO},02/24/2010 17:56:00,TAC0300,PC-2131,Logoff
{R9O8-B8GY00YQ-9101JBVE},10/18/2010 19:40:00,HKF0831,PC-6215,Logoff
{A0G7-P7MT06RC-1295IPZH},06/25/2010 13:36:49,OCS0865,PC-8309,Logon
{Y2C9-O1IY01GR-8350OBMW},03/30/2010 08:32:00,MSG0839,PC-3227,Logon
{B7T8-P1YJ11TY-3138UEFW},05/04/2010 11:15:44,HTH0007,PC-8851,Logon
{Y4A8-J7BT18NC-6773EJIC},02/25/2011 08:37:00,LDM0587,PC-5012,Logon
{U5O7-K5BU01LE-4633OVSV},03/18/2011 08:00:00,KQS0415,PC-3124,Logon
{H9C4-B7HD67AQ-2933CHMZ},06/19/2010 07:09:00,MLM0950,PC-9787,Logon
{O8K6-C4ND59AA-6512TSAM},12/09/2010 14:06:55,LAF0991,PC-4973,Logon
{W5H2-R1SN57KT-8118NUTG},08/12/2010 13:19:21,RDT0424,PC-3847,Logon
{X5Y8-E2KW34XG-1537INUI},09/30/2010 15:56:00,TVS0006,PC-5873,Logoff
{O9N6-E0QK34QL-2361QMHU},07/21/2010 11:20:09,VCC0396,PC-4582,Logon
{A2U9-B8BT95JZ-3376NDLV},06/14/2010 09:26:00,MIB0904,PC-7811,Logon
{K6E0-U9PM47MZ-4601RFVS},02/10/2011 19:36:57,HDS0367,PC-4679,Logon
{Y2L1-L3XD06XD-8038WVWQ},03/02/2010 11:51:02,KBG0549,PC-0146,Logon
{G7H6-E2YL41HT-3513ARAS},03/01/2011 07:03:00,HLM0933,PC-5242,Logon
{B7I4-E3GZ56BJ-1068GBTQ},04/12/2011 08:00:00,FHO0630,PC-9999,Logon
{X7I1-I2QG81TM-8640JAJT},07/30/2010 08:08:00,KRM0541,PC-4722,Logon
{C4M8-P9XK12HV-9980FXDP},02/24/2011 17:00:00,AJN0607,PC-8303,Logoff
{K5X2-D9YO37MU-3275VEKE},09/01/2010 09:21:00,ZMC0284,PC-3947,Logon
{L3F1-X8MA81LQ-3708GJAE},01/06/2010 08:04:00,RGH0728,PC-8568,Logon
{S3B3-M7BO66GV-4631ZKST},07/22/2010 19:06:00,GAF0060,PC-4911,Logoff
{T0U7-J6JV91AO-6446TEOL},02/25/2011 08:37:00,IYB0918,PC-6119,Logon
{Z2Q7-U0KA55YZ-0882KCVD},03/24/2011 22:48:51,HDS0367,PC-2709,Logoff
{U6Z2-R8DX00GE-8515KXZG},03/30/2011 16:09:00,DAL0673,PC-9156,Logoff
{K7O5-Q9EB28IO-6642VJHN},04/15/2011 16:52:00,WGS0516,PC-0389,Logoff
{G2G0-V3VO80BO-2460NMVA},06/11/2010 08:33:00,IWM0816,PC-8853,Logon
{H3Y7-L6TG52QW-3336XPQI},09/01/2010 18:42:00,JDF0593,PC-6301,Logoff
{G9M4-B4WT83UD-8874CUWG},11/19/2010 17:04:00,ARA0252,PC-4886,Logoff
{E6Y7-I2SZ22JK-9735SZPJ},09/10/2010 09:06:00,JKM0303,PC-1208,Logon
{F7B6-O7AC94DV-8736TMYE},03/17/2010 07:17:00,KDT0346,PC-7238,Logon
{X7O1-V2SH86WP-4227DQOI},02/25/2010 16:26:00,IRM0931,PC-7188,Logoff
{Z2A9-W6IO68UA-5239CTSJ},10/08/2010 08:09:00,PPF0435,PC-1809,Logon
{O9E5-G5LI00PU-9618YEVV},05/05/2010 15:50:32,SMH0291,PC-4124,Logoff
{Q3P4-R8EX76QN-9358HJCB},01/04/2010 14:19:19,BCR0581,PC-0616,Logon
{Q2G7-C1JI27CQ-1361YQST},02/11/2010 07:45:00,QOS0878,PC-2211,Logon
{V5M7-G1MY72JV-5831XPAY},04/22/2010 09:15:00,DIB0285,PC-1268,Logon
{X5O8-R6EF19HY-4314PLPK},01/28/2010 07:48:00,ADC0391,PC-4729,Logon
{Z5R7-N6VZ64LM-2742SOBR},11/01/2010 16:51:00,PPF0435,PC-1809,Logoff
{E8F7-F0CN48SJ-6810YVMY},11/20/2010 07:01:00,CTR0341,PC-6184,Logon
{G1Q7-L9DZ07CE-2340ODZI},11/30/2010 16:00:00,TSR0676,PC-9227,Logoff
{S0N8-V6VI75EI-4422MMHX},09/23/2010 15:26:00,QNP0216,PC-9564,Logoff
{R9U9-B5FX88VB-9974FSLU},02/03/2010 17:57:00,PNL0301,PC-5611,Logoff
{H4T2-R1OU70BO-3136SXUC},04/21/2011 17:00:00,PRM0740,PC-1017,Logoff
{U6V0-O7MQ47YD-9919LFAB},01/19/2011 18:59:00,RNL0695,PC-6581,Logoff
{T6K9-P0HE84LT-2707PQYY},03/26/2010 12:06:32,SAC0592,PC-7310,Logon
{F8Y5-M4LH39XG-9779ASYZ},03/02/2010 18:00:00,GHH0288,PC-4686,Logoff
{N5G8-Y3LQ56IZ-8509MJZD},03/09/2010 07:56:00,HBO0413,PC-7384,Logon
{V5M8-V4JO62KT-1568LOGW},05/04/2011 09:07:00,KLM0639,PC-7387,Logon
{F2R0-J6ZY19FS-2380WSOT},06/02/2010 09:03:00,JNA0559,PC-9423,Logon
{Z4B8-O3SE60YU-7818GGEZ},09/29/2010 12:11:02,NAF0326,PC-3847,Logoff
{S0N9-T9KM96NB-7133FIZR},05/16/2011 07:03:00,IRM0931,PC-7188,Logon
{Z2G0-N7WD00FG-7185INUO},03/27/2011 19:40:00,JDC0030,PC-0246,Logoff
{Q2G6-M4EX97HY-2196HGGD},10/26/2010 07:03:00,FXF0957,PC-4176,Logon
{K2I7-G3QA59QN-7146YXHF},02/18/2011 07:55:00,TMA0069,PC-1013,Logon
{E0E1-E9LX00FV-0834QPVU},10/01/2010 16:57:00,CNE0352,PC-2766,Logoff
{K6U1-T5LX96AM-3681PFSG},09/13/2010 07:02:00,HWM0342,PC-4436,Logon
{Y6R1-M5ZZ19KY-1349GCXS},03/18/2011 16:27:00,AKH0758,PC-7560,Logoff
{U3T4-I5RF59SV-2973TSJL},06/07/2010 08:26:00,FRR0832,PC-0751,Logon
{O0C7-P1VT96NT-1432DGJW},02/01/2011 19:40:00,JCR0921,PC-9473,Logoff
{L4O3-S4FH89XH-4955YLXB},03/05/2010 07:50:00,BXJ0010,PC-2231,Logon
{V6P0-C0RV87YL-8808WKVY},11/18/2010 08:13:00,HCV0478,PC-5977,Logon
{H5Z1-F7EE14SR-1764GFVC},04/19/2011 17:53:00,JKM0303,PC-1208,Logoff
{U8Y2-L6LB92GR-6044WZBR},12/06/2010 08:21:00,LJT0817,PC-3120,Logon
{A2W8-E8WQ62JO-9314WHED},03/25/2011 05:50:32,KRV0372,PC-3459,Logoff
{U7Z9-W3HC39SL-1744RZUE},04/15/2011 16:11:00,BKW0374,PC-5186,Logoff
{H5F5-V8NE45LH-5565FYII},06/25/2010 15:07:27,WNB0908,PC-0094,Logon
{T8V9-F7HZ81ZB-5487WEVU},07/02/2010 18:11:00,KRM0541,PC-4722,Logoff
{F5Z9-L2NQ13DT-7252RZAI},03/14/2011 08:30:00,PTH0830,PC-8118,Logon
{I7E9-O7EM37YG-5529BQJI},03/08/2011 09:22:00,CQW0652,PC-3449,Logon
{A7J3-M5ZA44OQ-8989NKBE},03/09/2011 18:58:00,JER0404,PC-0928,Logoff
{L9S1-V6VR05MF-4625JMSL},08/30/2010 08:32:00,WDV0573,PC-4983,Logon
{X1Z1-U0LP52HX-8805YYPB},12/07/2010 16:43:00,SKG0759,PC-2662,Logoff
{L6Y4-A0DH44YT-0077EUQJ},03/03/2011 13:38:51,BAL0044,PC-8508,Logoff
{U5R6-K9QI43SD-4076RIBZ},08/18/2010 16:08:00,RJM0381,PC-8800,Logoff
{A7Z4-U6DI72PK-7996JQPD},11/01/2010 17:00:00,RAS0432,PC-9108,Logoff
{G1N1-S2EQ49VI-2687PHIC},03/18/2010 17:28:00,CBG0490,PC-3005,Logoff
{H6Q5-R9HZ38QO-2493WUSV},07/20/2010 05:46:36,UIR0043,PC-1917,Logon
{H0Z6-N5NP81VU-6117UJQM},04/01/2010 19:12:00,FSB0399,PC-1275,Logoff
{G3H7-U2TD09AU-2161UXSV},10/01/2010 07:35:00,MKG0711,PC-2368,Logon
{B5I2-N8VV83KQ-6077XGLU},01/17/2011 19:01:00,BTN0061,PC-3682,Logoff
{F6U8-D5SW41FV-4894DAWD},09/10/2010 16:10:00,CFG0959,PC-9094,Logoff
{S5W1-I2EZ33VI-8616GCCX},07/22/2010 08:48:31,DMG0358,PC-7865,Logoff
{B0W3-E3XN19MH-6702OXLM},08/19/2010 18:35:00,MLL0598,PC-0189,Logoff
{R3C2-K3DH65PT-2881EEXT},08/24/2010 16:12:00,JLM0364,PC-3791,Logoff
{J3T1-U4FZ87NC-8427GGLJ},02/08/2010 04:22:34,JCC0225,PC-6112,Logon
{P4H9-A3ND78TU-1122TBUH},06/04/2010 12:08:46,TDG0962,PC-2173,Logon
{E8S2-Y2YY57WA-7727PZDA},05/12/2010 08:06:00,SAT0194,PC-8148,Logon
{U9N1-I1SO19TW-8264QXVH},09/03/2010 08:28:00,KMB0922,PC-1725,Logon
